Maximum Length of Consecutive Dry Spell - (Days), Year, Model, Statistics, ISO3
-0.0184, 2040-2059, cesm1_bgc, Feb Anomaly, NZL
0.31004, 2040-2059, cesm1_bgc, Mar Anomaly, NZL
0.36424, 2040-2059, cesm1_bgc, Apr Anomaly, NZL
-0.4882, 2040-2059, cesm1_bgc, May Anomaly, NZL
0.66261, 2040-2059, cesm1_bgc, Jun Anomaly, NZL
-0.4992, 2040-2059, cesm1_bgc, Jul Anomaly, NZL
0.626, 2040-2059, cesm1_bgc, Aug Anomaly, NZL
0.97146, 2040-2059, cesm1_bgc, Sep Anomaly, NZL
0.2859, 2040-2059, cesm1_bgc, Oct Anomaly, NZL
0.55641, 2040-2059, cesm1_bgc, Nov Anomaly, NZL
0.00605, 2040-2059, cesm1_bgc, Dec Anomaly, NZL
0.63853, 2040-2059, cesm1_cam5, Jan Anomaly, NZL
0.70313, 2040-2059, cesm1_cam5, Feb Anomaly, NZL
0.28456, 2040-2059, cesm1_cam5, Mar Anomaly, NZL
-0.1943, 2040-2059, cesm1_cam5, Apr Anomaly, NZL
0.19413, 2040-2059, cesm1_cam5, May Anomaly, NZL
-0.1632, 2040-2059, cesm1_cam5, Jun Anomaly, NZL
0.23052, 2040-2059, cesm1_cam5, Jul Anomaly, NZL
-0.2631, 2040-2059, cesm1_cam5, Aug Anomaly, NZL
-0.1104, 2040-2059, cesm1_cam5, Sep Anomaly, NZL
0.22735, 2040-2059, cesm1_cam5, Oct Anomaly, NZL
-0.2227, 2040-2059, cesm1_cam5, Nov Anomaly, NZL
-0.119, 2040-2059, cesm1_cam5, Dec Anomaly, NZL
0.78124, 2040-2059, cnrm_cm5, Jan Anomaly, NZL
0.85664, 2040-2059, cnrm_cm5, Feb Anomaly, NZL
0.2385, 2040-2059, cnrm_cm5, Mar Anomaly, NZL
-0.3196, 2040-2059, cnrm_cm5, Apr Anomaly, NZL
0.54485, 2040-2059, cnrm_cm5, May Anomaly, NZL
-0.1631, 2040-2059, cnrm_cm5, Jun Anomaly, NZL
0.0173, 2040-2059, cnrm_cm5, Jul Anomaly, NZL
1.04378, 2040-2059, cnrm_cm5, Aug Anomaly, NZL
0.74271, 2040-2059, cnrm_cm5, Sep Anomaly, NZL
-0.0944, 2040-2059, cnrm_cm5, Oct Anomaly, NZL
-0.5854, 2040-2059, cnrm_cm5, Nov Anomaly, NZL
0.08567, 2040-2059, cnrm_cm5, Dec Anomaly, NZL
0.42297, 2040-2059, csiro_mk3_6_0, Jan Anomaly, NZL
0.51683, 2040-2059, csiro_mk3_6_0, Feb Anomaly, NZL
0.7098, 2040-2059, csiro_mk3_6_0, Mar Anomaly, NZL
0.06012, 2040-2059, csiro_mk3_6_0, Apr Anomaly, NZL
0.57082, 2040-2059, csiro_mk3_6_0, May Anomaly, NZL
0.34419, 2040-2059, csiro_mk3_6_0, Jun Anomaly, NZL
-0.7485, 2040-2059, csiro_mk3_6_0, Jul Anomaly, NZL
-0.5288, 2040-2059, csiro_mk3_6_0, Aug Anomaly, NZL
-0.0665, 2040-2059, csiro_mk3_6_0, Sep Anomaly, NZL
-0.0365, 2040-2059, csiro_mk3_6_0, Oct Anomaly, NZL
0.29967, 2040-2059, csiro_mk3_6_0, Nov Anomaly, NZL
0.17015, 2040-2059, csiro_mk3_6_0, Dec Anomaly, NZL
-1.188, 2040-2059, gfdl_cm3, Jan Anomaly, NZL
-0.7404, 2040-2059, gfdl_cm3, Feb Anomaly, NZL
0.23748, 2040-2059, gfdl_cm3, Mar Anomaly, NZL
0.99226, 2040-2059, gfdl_cm3, Apr Anomaly, NZL
-0.1573, 2040-2059, gfdl_cm3, May Anomaly, NZL
-0.552, 2040-2059, gfdl_cm3, Jun Anomaly, NZL
-1.0713, 2040-2059, gfdl_cm3, Jul Anomaly, NZL
-0.9404, 2040-2059, gfdl_cm3, Aug Anomaly, NZL
-0.3059, 2040-2059, gfdl_cm3, Sep Anomaly, NZL
-0.1282, 2040-2059, gfdl_cm3, Oct Anomaly, NZL
0.39146, 2040-2059, gfdl_cm3, Nov Anomaly, NZL
-0.2744, 2040-2059, gfdl_cm3, Dec Anomaly, NZL
-0.7142, 2040-2059, gfdl_esm2g, Jan Anomaly, NZL
-0.398, 2040-2059, gfdl_esm2g, Feb Anomaly, NZL
1.76286, 2040-2059, gfdl_esm2g, Mar Anomaly, NZL
0.31564, 2040-2059, gfdl_esm2g, Apr Anomaly, NZL
0.37744, 2040-2059, gfdl_esm2g, May Anomaly, NZL
-1.3654, 2040-2059, gfdl_esm2g, Jun Anomaly, NZL
-0.8136, 2040-2059, gfdl_esm2g, Jul Anomaly, NZL
-0.3458, 2040-2059, gfdl_esm2g, Aug Anomaly, NZL
0.29159, 2040-2059, gfdl_esm2g, Sep Anomaly, NZL
0.21703, 2040-2059, gfdl_esm2g, Oct Anomaly, NZL
0.31339, 2040-2059, gfdl_esm2g, Nov Anomaly, NZL
-0.1766, 2040-2059, gfdl_esm2g, Dec Anomaly, NZL
0.36968, 2040-2059, gfdl_esm2m, Jan Anomaly, NZL
-0.0686, 2040-2059, gfdl_esm2m, Feb Anomaly, NZL
-1.064, 2040-2059, gfdl_esm2m, Mar Anomaly, NZL
-0.5574, 2040-2059, gfdl_esm2m, Apr Anomaly, NZL
0.38477, 2040-2059, gfdl_esm2m, May Anomaly, NZL
0.41238, 2040-2059, gfdl_esm2m, Jun Anomaly, NZL
-1.6751, 2040-2059, gfdl_esm2m, Jul Anomaly, NZL
-0.6923, 2040-2059, gfdl_esm2m, Aug Anomaly, NZL
-0.5181, 2040-2059, gfdl_esm2m, Sep Anomaly, NZL
0.22798, 2040-2059, gfdl_esm2m, Oct Anomaly, NZL
1.23559, 2040-2059, gfdl_esm2m, Nov Anomaly, NZL
0.67512, 2040-2059, gfdl_esm2m, Dec Anomaly, NZL
0.68059, 2040-2059, hadgem2_ao, Jan Anomaly, NZL
